"POLITICAL_UNIT","NAME","WGMS_ID","PSFG_ID","WGI_ID","GLIMS_ID","RGI_ID","REMARKS"
"AF","UNNAMED 17830",17830,,,"G071677E36545N","RGI50-14.22648","Information derived from RGI5.0."
"AF","UNNAMED 17831",17831,,,"G071860E36512N","RGI50-14.22660","Information derived from RGI5.0."
"AF","UNNAMED 17832",17832,,,"G071893E36520N","RGI50-14.22661","Information derived from RGI5.0."
"AF","UNNAMED 17833",17833,,,"G071913E36535N","RGI50-14.22663","Information derived from RGI5.0."
"AF","UNNAMED 17834",17834,,,"G071915E36548N","RGI50-14.22664","Information derived from RGI5.0."
"AF","UNNAMED 17835",17835,,,"G071844E36602N","RGI50-14.22672","Information derived from RGI5.0."
"AF","UNNAMED 17836",17836,,,"G071924E36613N","RGI50-14.22679","Information derived from RGI5.0."
"AF","UNNAMED 17837",17837,,,"G071943E36567N","RGI50-14.22682","Information derived from RGI5.0."
"AF","UNNAMED 17838",17838,,,"G071931E36572N","RGI50-14.22683","Information derived from RGI5.0."
"AF","UNNAMED 17839",17839,,,"G071965E36574N","RGI50-14.22684","Information derived from RGI5.0."
"AF","UNNAMED 17840",17840,,,"G072077E36636N","RGI50-14.22686","Information derived from RGI5.0."
"AF","UNNAMED 17841",17841,,,"G072177E36734N","RGI50-14.22699","Information derived from RGI5.0."
"AF","UNNAMED 17842",17842,,,"G072196E36729N","RGI50-14.22700","Information derived from RGI5.0."
"AF","UNNAMED 17843",17843,,,"G072276E36763N","RGI50-14.22703","Information derived from RGI5.0."
"AF","UNNAMED 17844",17844,,,"G072346E36785N","RGI50-14.22707","Information derived from RGI5.0."
"AF","UNNAMED 17845",17845,,,"G071337E36229N","RGI50-14.22747","Information derived from RGI5.0."
"AF","UNNAMED 17847",17847,,,"G071328E36212N","RGI50-14.22835","Information derived from RGI5.0."
"AF","UNNAMED 17848",17848,,,"G071302E36224N","RGI50-14.22836","Information derived from RGI5.0."
"AF","UNNAMED 17849",17849,,,"G071284E36212N","RGI50-14.22843","Information derived from RGI5.0."
"AF","UNNAMED 17850",17850,,,"G071148E36028N","RGI50-14.22879","Information derived from RGI5.0."
"AF","UNNAMED 17851",17851,,,"G070988E35669N","RGI50-14.23086","Information derived from RGI5.0."
"AF","UNNAMED 17894",17894,,,"G070985E35683N","RGI50-14.23482","Information derived from RGI5.0."
"AF","UNNAMED 17900",17900,,,"G072321E36757N","RGI50-14.23604","Information derived from RGI5.0."
"AF","UNNAMED 17901",17901,,,"G072238E36772N","RGI50-14.23605","Information derived from RGI5.0."
"AF","UNNAMED 17902",17902,,,"G072228E36747N","RGI50-14.23607","Information derived from RGI5.0."
"AF","UNNAMED 17905",17905,,,"G072171E36685N","RGI50-14.23645","Information derived from RGI5.0."
"AF","UNNAMED 17907",17907,,,"G072138E36668N","RGI50-14.23650","Information derived from RGI5.0."
"AF","UNNAMED 17908",17908,,,"G072134E36681N","RGI50-14.23652","Information derived from RGI5.0."
"AF","UNNAMED 17909",17909,,,"G072111E36664N","RGI50-14.23656","Information derived from RGI5.0."
"AF","UNNAMED 17910",17910,,,"G072086E36664N","RGI50-14.23657","Information derived from RGI5.0."
"AF","UNNAMED 17911",17911,,,"G072001E36577N","RGI50-14.23677","Information derived from RGI5.0."
