"POLITICAL_UNIT","NAME","WGMS_ID","Year","TIME_SYSTEM","BEGIN_PERIOD","END_WINTER","END_PERIOD","ELA_PREFIX","ELA","ELA_UNC","MIN_SITES_ACC","MAX_SITES_ACC","MIN_SITES_ABL","MAX_SITES_ABL","ACC_AREA","ACC_AREA_UNC","ABL_AREA","ABL_AREA_UNC","AAR","PUB_IN_MBB","PUB_IN_FOG","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS"
"AT","OCHSENTALER G.",483,1999,,,,,,2850,,,,,,,,,,65.00000,,2000,"Markl G. (ACINN), Kuhn M. (ACINN)","ACINN: Institute of Atmospheric and Cryospheric Sciences (formerly: Institute of Meteorology and Geophysics, IMGI), University of Innsbruck","Data from Dyurgerov, M.(2002): [30, 69, 75, 75a, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
"AT","PASTERZE",566,1980,,,,,,,,,,,,,,,,,,,,,,
"AT","PASTERZE",566,1981,,,,,,,,,,,,,,,,,,,,,,
"AT","PASTERZE",566,1982,,,,,,,,,,,,,,,,,,,,,,
"AT","PASTERZE",566,1983,,,,,,,,,,,,,,,,,,,,,,
"AT","PASTERZE",566,1984,,,,,,,,,,,,,,,,,,,,,,
"AT","PASTERZE",566,1985,,,,,,,,,,,,,,,,,,,,,,
"AT","PASTERZE",566,1986,,,,,,,,,,,,,,,,,,,,,,
"AT","PASTERZE",566,1987,,,,,,,,,,,,,,,,,,,,,,
"AT","PASTERZE",566,1988,,,,,,,,,,,,,,,,,,,,,,
"AT","PASTERZE",566,1989,,,,,,,,,,,,,,,,,,,,,,
"AT","PASTERZE",566,1990,,,,,,,,,,,,,,,,,,,,,,
"AT","PASTERZE",566,1991,,,,,,,,,,,,,,,,,,,,,,
"AT","PASTERZE",566,1992,,,,,,,,,,,,,,,,,,,,,,
"AT","PASTERZE",566,1993,,,,,,,,,,,,,,,,,,,,,,
"AT","PASTERZE",566,1994,,,,,,,,,,,,,,,,,,,,,,
"AT","PASTERZE",566,1995,,,,,,,,,,,,,,,,,,,,,,
"AT","PASTERZE",566,1996,,,,,,,,,,,,,,,,,,,,,,
"AT","PASTERZE",566,1997,,,,,,,,,,,,,,,,,,,,,,
"AT","PASTERZE",566,2005,"FXD",20041001,20050430,20050930,,2920,10.00000,0,89,8,31,10.5690000,0.0001000,7.1420000,0.0001000,60.00000,,2005,"Böhm R. (ZAMG), Schöner W. (ZAMG), Hynek B. (ZAMG)","ZAMG: Zentralanstalt für Meteorologie und Geodynamik"," WGMS (2008): FoG 2000-2005 (Vol. IX).","Max. number of acc. sites includes probing points additionally to snow pits (min. nr. of acc. sites)"
"AT","PASTERZE",566,2006,"FXD",20050930,,20061001,,3000,,,,,,8.2727000,,9.4378000,,47.00000,2007,2010,"Hynek B. (ZAMG), Reisenhofer S. (ZAMG), Unger R. (ZAMG), Schöner W. (ZAMG), Böhm R. (ZAMG)","ZAMG: Zentralanstalt für Meteorologie und Geodynamik","WGMS (2009): GMBB No. 10 (2006-2007). WGMS (2012): FoG 2005-2010 (Vol. X).",
"AT","PASTERZE",566,2007,"FXD",20061001,,20070930,,3025,10.00000,4,216,54,,8.6000000,1.7200000,9.1000000,1.7200000,49.00000,2007,2010,"Hynek B. (ZAMG), Reisenhofer S. (ZAMG), Unger R. (ZAMG), Schöner W. (ZAMG), Böhm R. (ZAMG)","ZAMG: Zentralanstalt für Meteorologie und Geodynamik","WGMS (2009): GMBB No. 10 (2006-2007). WGMS (2012): FoG 2005-2010 (Vol. X).","Max. number of acc. sites includes 102 probing points and 114 radar points."
"AT","PASTERZE",566,2008,"COM",20071001,,20080926,">",3600,50.00000,500,800,46,60,2.9000000,1.0000000,14.8000000,1.0000000,16.00000,2009,2010,"Hynek B. (ZAMG), Reisenhofer S. (ZAMG), Unger R. (ZAMG), Schöner W. (ZAMG), Böhm R. (ZAMG)","ZAMG: Zentralanstalt für Meteorologie und Geodynamik","WGMS (2011): GMBB No. 11 (2008-2009). WGMS (2012): FoG 2005-2010 (Vol. X).","accumulation measurements by  500 Mhz Georadar, explains high number of measurements points"
